mix,time_point,carbon,bio_rep,strain,count,total,treatment
A,0,coum,1A,Y4I,21000,173000,none
A,0,coum,1A,SE45,52000,173000,none
A,0,coum,1A,E37,8000,173000,none
A,0,coum,1A,ISM,49000,173000,none
A,0,coum,1A,EE36,43000,173000,none
A,0,coum,1B,Y4I,61000,281000,none
A,0,coum,1B,SE45,102000,281000,none
A,0,coum,1B,E37,21000,281000,none
A,0,coum,1B,ISM,51000,281000,none
A,0,coum,1B,EE36,46000,281000,none
A,0,coum,1C,Y4I,9000,184000,none
A,0,coum,1C,SE45,80000,184000,none
A,0,coum,1C,E37,19000,184000,none
A,0,coum,1C,ISM,31000,184000,none
A,0,coum,1C,EE36,45000,184000,none
A,0,coum,3A,Y4I,34000,213000,none
A,0,coum,3A,SE45,85000,213000,none
A,0,coum,3A,E37,14000,213000,none
A,0,coum,3A,ISM,54000,213000,none
A,0,coum,3A,EE36,26000,213000,none
A,0,coum,3B,Y4I,10000,175000,none
A,0,coum,3B,SE45,98000,175000,none
A,0,coum,3B,E37,9000,175000,none
A,0,coum,3B,ISM,35000,175000,none
A,0,coum,3B,EE36,23000,175000,none
A,0,coum,3C,Y4I,11000,158000,none
A,0,coum,3C,SE45,98000,158000,none
A,0,coum,3C,E37,7000,158000,none
A,0,coum,3C,ISM,27000,158000,none
A,0,coum,3C,EE36,15000,158000,none
B,0,coum,1A,Y4I,,,none
B,0,coum,1A,SE45,,,none
B,0,coum,1A,E37,,,none
B,0,coum,1A,ISM,,,none
B,0,coum,1A,EE36,,,none
B,0,coum,1B,Y4I,10000,95000,none
B,0,coum,1B,SE45,38000,95000,none
B,0,coum,1B,E37,1000,95000,none
B,0,coum,1B,ISM,22000,95000,none
B,0,coum,1B,EE36,24000,95000,none
B,0,coum,1C,Y4I,5000,151000,none
B,0,coum,1C,SE45,80000,151000,none
B,0,coum,1C,E37,5000,151000,none
B,0,coum,1C,ISM,22000,151000,none
B,0,coum,1C,EE36,39000,151000,none
B,0,coum,3A,Y4I,48000,296000,none
B,0,coum,3A,SE45,116000,296000,none
B,0,coum,3A,E37,15000,296000,none
B,0,coum,3A,ISM,61000,296000,none
B,0,coum,3A,EE36,56000,296000,none
B,0,coum,3B,Y4I,12000,130000,none
B,0,coum,3B,SE45,53000,130000,none
B,0,coum,3B,E37,6000,130000,none
B,0,coum,3B,ISM,30000,130000,none
B,0,coum,3B,EE36,29000,130000,none
B,0,coum,3C,Y4I,6000,49000,none
B,0,coum,3C,SE45,26000,49000,none
B,0,coum,3C,E37,3000,49000,none
B,0,coum,3C,ISM,10000,49000,none
B,0,coum,3C,EE36,4000,49000,none
C,0,coum,1A,Y4I,9000,174000,none
C,0,coum,1A,SE45,55000,174000,none
C,0,coum,1A,E37,6000,174000,none
C,0,coum,1A,ISM,28000,174000,none
C,0,coum,1A,EE36,76000,174000,none
C,0,coum,1B,Y4I,11000,274000,none
C,0,coum,1B,SE45,130000,274000,none
C,0,coum,1B,E37,9000,274000,none
C,0,coum,1B,ISM,80000,274000,none
C,0,coum,1B,EE36,44000,274000,none
C,0,coum,1C,Y4I,25000,216000,none
C,0,coum,1C,SE45,126000,216000,none
C,0,coum,1C,E37,16000,216000,none
C,0,coum,1C,ISM,49000,216000,none
C,0,coum,1C,EE36,0,216000,none
C,0,coum,3A,Y4I,12000,162000,none
C,0,coum,3A,SE45,58000,162000,none
C,0,coum,3A,E37,7000,162000,none
C,0,coum,3A,ISM,43000,162000,none
C,0,coum,3A,EE36,42000,162000,none
C,0,coum,3B,Y4I,25000,241000,none
C,0,coum,3B,SE45,108000,241000,none
C,0,coum,3B,E37,15000,241000,none
C,0,coum,3B,ISM,66000,241000,none
C,0,coum,3B,EE36,27000,241000,none
C,0,coum,3C,Y4I,23000,218000,none
